Countries,Local,Industry Sector,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico,Accident_Level
Country_01,Local_01,Mining,IV,Male,Third Party,Pressed,0
Country_02,Local_02,Mining,IV,Male,Employee,Pressurized Systems,0
Country_01,Local_03,Mining,III,Male,Third Party (Remote),Manual Tools,0
Country_01,Local_04,Mining,I,Male,Third Party,Others,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,1
Country_02,Local_05,Metals,III,Male,Third Party (Remote),Pressurized Systems,0
Country_02,Local_05,Metals,III,Male,Employee,Fall prevention (same level),0
Country_01,Local_04,Mining,III,Male,Third Party,Pressed,0
Country_02,Local_02,Mining,IV,Male,Third Party (Remote),Others,0
Country_01,Local_06,Metals,II,Male,Third Party,Chemical substances,0
Country_01,Local_03,Mining,III,Male,Employee,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party,Others,0
Country_02,Local_05,Metals,I,Male,Employee,Liquid Metal,0
Country_01,Local_01,Mining,V,Male,Third Party,Electrical installation,1
Country_02,Local_05,Metals,III,Male,Employee,Confined space,0
Country_02,Local_05,Metals,IV,Male,Employee,Liquid Metal,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,1
Country_01,Local_06,Metals,II,Female,Third Party,Others,0
Country_01,Local_06,Metals,II,Male,Employee,Others,0
Country_01,Local_06,Metals,III,Male,Employee,Others,0
Country_01,Local_06,Metals,II,Male,Third Party,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party,Others,0
Country_02,Local_02,Mining,II,Male,Third Party (Remote),Others,0
Country_01,Local_06,Metals,II,Male,Third Party,Others,0
Country_01,Local_06,Metals,II,Male,Employee,Manual Tools,0
Country_01,Local_01,Mining,I,Male,Employee,Others,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_01,Local_01,Mining,IV,Male,Employee,Others,0
Country_02,Local_07,Mining,III,Male,Employee,Others,0
Country_01,Local_03,Mining,II,Male,Employee,Others,0
Country_01,Local_03,Mining,II,Male,Employee,Others,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,1
Country_01,Local_04,Mining,V,Male,Third Party,Others,1
Country_02,Local_05,Metals,II,Male,Employee,Others,0
Country_02,Local_05,Metals,III,Male,Third Party (Remote),Pressed,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,0
Country_02,Local_07,Mining,V,Male,Employee,Others,0
Country_02,Local_07,Mining,V,Female,Third Party,Others,0
Country_01,Local_01,Mining,IV,Male,Employee,Others,0
Country_02,Local_02,Mining,IV,Male,Employee,Others,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_06,Metals,IV,Male,Third Party (Remote),Pressurized Systems / Chemical Substances,0
Country_01,Local_01,Mining,III,Male,Third Party,Others,0
Country_02,Local_08,Metals,III,Male,Employee,Pressed,0
Country_01,Local_06,Metals,III,Male,Employee,Blocking and isolation of energies,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_01,Local_06,Metals,III,Male,Employee,Manual Tools,0
Country_01,Local_03,Mining,IV,Male,Employee,Others,0
Country_01,Local_04,Mining,III,Male,Employee,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party (Remote),Others,1
Country_01,Local_06,Metals,IV,Male,Third Party,Suspended Loads,0
Country_01,Local_03,Mining,V,Male,Third Party,Others,1
Country_01,Local_03,Mining,V,Male,Third Party,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party (Remote),Others,0
Country_02,Local_07,Mining,IV,Male,Employee,Others,1
Country_01,Local_06,Metals,III,Male,Third Party (Remote),Chemical substances,0
Country_01,Local_03,Mining,III,Male,Employee,Others,0
Country_01,Local_04,Mining,II,Male,Third Party,Others,0
Country_02,Local_05,Metals,II,Male,Employee,Pressed,0
Country_01,Local_01,Mining,II,Male,Third Party,Others,0
Country_02,Local_08,Metals,II,Male,Employee,Manual Tools,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,1
Country_01,Local_01,Mining,III,Male,Employee,Others,0
Country_02,Local_05,Metals,IV,Male,Employee,Chemical substances,0
Country_02,Local_05,Metals,IV,Male,Employee,Fall prevention (same level),0
Country_02,Local_05,Metals,IV,Male,Employee,Chemical substances,0
Country_01,Local_03,Mining,II,Male,Employee,Others,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,1
Country_01,Local_01,Mining,IV,Male,Third Party,Others,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,0
Country_01,Local_03,Mining,III,Male,Employee,Others,0
Country_01,Local_06,Metals,III,Male,Employee,Others,0
Country_02,Local_08,Metals,III,Male,Third Party (Remote),Pressed,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_01,Local_01,Mining,V,Male,Third Party,Others,1
Country_01,Local_01,Mining,III,Male,Employee,Others,0
Country_01,Local_01,Mining,V,Male,Third Party (Remote),Others,0
Country_01,Local_01,Mining,V,Male,Third Party (Remote),Others,0
Country_03,Local_10,Others,II,Male,Third Party,Others,0
Country_03,Local_10,Others,IV,Male,Third Party,Poll,1
Country_03,Local_10,Others,I,Male,Third Party,Others,0
Country_01,Local_03,Mining,II,Male,Third Party,Others,0
Country_02,Local_09,Metals,IV,Male,Employee,Manual Tools,1
Country_01,Local_06,Metals,III,Male,Third Party,Fall prevention (same level),0
Country_02,Local_05,Metals,III,Male,Third Party,Pressed,0
Country_01,Local_03,Mining,II,Male,Third Party,Others,0
Country_01,Local_03,Mining,IV,Male,Employee,Others,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,0
Country_01,Local_01,Mining,IV,Male,Employee,Others,0
Country_02,Local_08,Metals,III,Male,Employee,Pressurized Systems,0
Country_01,Local_04,Mining,II,Male,Third Party,Others,0
Country_01,Local_04,Mining,III,Male,Third Party,Others,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_01,Local_03,Mining,II,Male,Employee,Others,0
Country_02,Local_05,Metals,IV,Male,Employee,Cut,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_02,Local_02,Mining,V,Male,Employee,Others,0
Country_01,Local_01,Mining,II,Male,Third Party,Others,0
Country_01,Local_04,Mining,III,Male,Employee,Others,0
Country_02,Local_05,Metals,IV,Male,Third Party,Pressurized Systems / Chemical Substances,0
Country_02,Local_05,Metals,II,Female,Third Party,Cut,0
Country_02,Local_05,Metals,III,Male,Third Party (Remote),Chemical substances,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,1
Country_02,Local_05,Metals,IV,Male,Employee,Pressed,0
Country_01,Local_01,Mining,II,Male,Employee,Others,0
Country_01,Local_03,Mining,IV,Male,Third Party,Others,1
Country_01,Local_04,Mining,IV,Male,Third Party,Others,0
Country_02,Local_05,Metals,IV,Female,Third Party (Remote),Chemical substances,0
Country_03,Local_10,Others,I,Male,Third Party,Manual Tools,0
Country_01,Local_04,Mining,IV,Male,Third Party,Others,0
Country_01,Local_04,Mining,III,Male,Employee,Others,0
Country_02,Local_05,Metals,III,Female,Third Party (Remote),Chemical substances,0
Country_02,Local_05,Metals,III,Male,Third Party (Remote),Chemical substances,0
Country_02,Local_05,Metals,III,Male,Third Party,Manual Tools,0
Country_02,Local_08,Metals,II,Male,Third Party (Remote),Manual Tools,0
Country_01,Local_03,Mining,III,Male,Third Party,Others,0
Country_01,Local_06,Metals,II,Male,Third Party (Remote),Chemical substances,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,0
Country_01,Local_01,Mining,IV,Male,Third Party,Others,0
Country_01,Local_11,Others,II,Male,Employee,Others,0
